trial_id,timestamp,switchover_ms,non2xx_errors,requests_sec,latency_p50_ms,latency_p99_ms,source
1,20260716_222304,88201.0,0,134.68,,32210.0,real
2,20260718_150608,30454.0,0,,,,real
3,20260718_150946,33869.0,0,,,,real
4,20260718_151933,59443.0,0,164.64,,4630.0,real
5,20260718_152322,65402.0,864,179.57,6012.93,9273.34,real
6,20260718_153126,86997.0,0,200.03,5861.38,9199.61,real
7,20260718_173519,49477.0,0,143.89,32.02,2207.74,real
8,20260718_174049,72732.0,240,196.47,7368.7,11616.25,real
9,20260718_174511,42059.0,0,127.39,8077.31,11567.1,real
10,20260718_175043,45724.0,48,183.22,8159.23,18202.62,real
11,20260718_225154,88667.0,14,153.84,5857.28,23642.11,real
12,20260718_225725,16403.0,0,71.95,17.55,3966.97,real
13,20260718_230350,15708.0,0,70.88,29.49,6082.56,real
14,20260718_231136,54120.0,0,159.3,9445.38,14999.55,real
15,20260718_231639,59865.0,0,133.69,19791.87,31178.75,real
16,20260718_232004,17689.0,0,75.14,1618.94,5308.41,real
17,20260718_232511,113447.0,0,49.83,344.32,2953.22,real
18,20260718_232946,47129.0,0,31.43,241.79,1541.12,real
19,20260718_233905,46192.0,0,26.63,78.21,213.38,real
20,20260718_234844,14443.0,0,19.73,53.79,284.16,real
21,20260720_175750,14502.0,0,19.72,34.53,160.64,real
22,20260720_180122,14006.0,0,19.46,34.37,157.82,real
23,20260720_180501,12899.0,0,19.19,35.65,157.95,real
24,20260720_180840,13944.0,0,19.46,36.22,152.32,real
25,20260720_181221,14864.0,0,19.73,33.47,135.68,real
26,20260720_181600,12936.0,0,19.19,35.87,145.41,real
27,20260720_181941,13382.0,0,19.46,33.73,153.6,real
28,20260720_182321,13474.0,0,19.46,34.37,144.38,real
29,20260720_182701,13898.0,0,19.46,35.07,143.87,real
30,20260720_183042,14393.0,0,24.76,28.61,142.59,real
31,20260720_183423,13826.0,0,19.46,36.99,166.53,real
32,20260720_183803,14003.0,0,22.11,29.68,141.69,real
33,20260720_184144,13288.0,0,19.39,34.46,147.2,real
34,20260720_184523,13673.0,0,19.46,32.19,144.51,real
35,20260720_184904,13614.0,0,21.37,29.95,172.41,real
36,20260720_185245,13473.0,0,19.46,35.36,137.6,real
37,20260720_185625,14267.0,0,24.07,30.22,157.06,real
38,20260720_190006,12973.0,0,19.19,34.88,153.22,real
39,20260720_190348,13468.0,0,19.46,36.16,147.2,real
40,20260720_190729,13951.0,0,19.46,35.81,146.94,real
41,20260720_191109,13878.0,0,19.46,32.9,136.57,real
42,20260720_191449,13227.0,0,20.74,31.54,151.04,real
43,20260720_191829,15162.0,0,19.73,36.45,136.19,real
44,20260720_192211,13062.0,0,21.22,30.57,136.19,real
45,20260720_192551,14012.0,0,19.46,33.25,141.95,real
46,20260720_192931,14745.0,0,19.72,34.81,151.04,real
47,20260720_193313,13535.0,0,19.46,36.8,157.57,real
48,20260720_193654,13660.0,0,19.46,32.96,138.24,real
49,20260720_194036,13730.0,0,19.46,34.75,145.41,real
50,20260720_194416,14308.0,0,19.72,35.49,152.7,real
